Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
Barbie,2023,114,PG-13,100000000,636238421,162022044,2023-07-23 00:00:00,1445638421
Wonka,2023,116,PG,125000000,218402312,39005800,2023-12-17 00:00:00,632302312
Shazam! Fury of the Gods,2023,130,PG-13,125000000,57638006,30111158,2023-03-19 00:00:00,134038006
American Fiction,2023,117,R,0,0,0,1900-01-01 00:00:00,0
Next Goal Wins,2023,104,PG-13,14000000,6713826,2500295,2023-11-19 00:00:00,18648802
Beautiful Disaster,2023,96,R,0,0,0,1900-01-01 00:00:00,0
Bernadette,2023,92,Not Rated,0,0,0,1900-01-01 00:00:00,0
Sage-homme,2023,105,Not Rated,0,0,0,1900-01-01 00:00:00,0
Como Dios manda,2023,99,Not Rated,0,0,0,1900-01-01 00:00:00,0
Los buenos modales,2023,91,Not Rated,0,0,0,1900-01-01 00:00:00,0
Heureux gagnants,2024,103,Not Rated,0,0,0,1900-01-01 00:00:00,0
Hawaii,2023,104,Not Rated,0,0,0,1900-01-01 00:00:00,0
Os Aventureiros - A Origem,2023,85,Not Rated,0,0,0,1900-01-01 00:00:00,0
